abbr,name,memory,hs,bach
AL,Alabama,16.4,31.6,14.7
AK,Alaska,7.5,28.4,18.4
AZ,Arizona,10.8,24.3,17.3
AR,Arkansas,15.9,34.9,13.8
CA,California,10.8,20.9,20
CO,Colorado,7.8,21.9,24.1
CT,Connecticut,8.7,27.5,21.3
DE,Delaware,10.5,31.2,18.3
DC,District of Columbia,9.3,18.2,24.3
FL,Florida,11.6,29.6,17.4
GA,Georgia,11.4,28.4,18.2
HI,Hawaii,7,28.5,20.6
ID,Idaho,8.7,28.2,16.8
IL,Illinois,8.1,26.7,20.1
IN,Indiana,10.8,34.3,15.7
IA,Iowa,8.3,31.7,18.6
KS,Kansas,9.9,26.5,20.3
KY,Kentucky,16,33.8,13
LA,Louisiana,14.5,33.8,15.2
ME,Maine,9.8,32.3,19.4
MD,Maryland,8.6,25.7,20.7
MA,Massachusetts,11.9,24.9,23.2
MI,Michigan,12.6,29.7,16.5
MN,Minnesota,8.3,25.7,22.7
MS,Mississippi,16.2,30,13
MO,Missouri,11.6,31.4,17.1
MT,Montana,10.7,30.6,19.5
NE,Nebraska,7.9,27.2,20.2
NV,Nevada,11.3,28.2,15.2
NH,New Hampshire,9.8,28.6,21.7
NJ,New Jersey,8.8,28.2,23.1
NM,New Mexico,12.1,26.4,15.1
NY,New York,9.5,26.6,19.6
NC,North Carolina,10.8,26.6,18.6
ND,North Dakota,7.1,27.9,19.8
OH,Ohio,11.6,33.9,16.6
OK,Oklahoma,12.8,31.7,16
OR,Oregon,11.7,24.3,19.2
PA,Pennsylvania,10.4,36.4,17.5
RI,Rhode Island,10.3,28.7,18.1
SC,South Carolina,12.9,30.3,16.7
SD,South Dakota,8.1,30.6,20
TN,Tennessee,14.4,33.3,16.2
TX,Texas,10,25.2,18.2
UT,Utah,9.5,23,20.8
VT,Vermont,9.8,30.7,20.9
VA,Virginia,9.6,24.6,20.9
WA,Washington,10.2,22.8,21
WV,West Virginia,14.8,41.1,11.8
WI,Wisconsin,9.5,31.9,18.9
WY,Wyoming,7.5,27.4,17.9
PR,Puerto Rico,12.5,27.9,17.4
